Company ID,Address,City,Zip Code,Company Name,Industry,Latitude,Longitude,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due Date,Contact Status,Close Probability,Priority Score,UrgencyBand,Urgency Score,Totals
CID-T T001,100 Groves St,Canton,75103,T & T Iron Works,Welding,32.55774689,-95.86325073,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-REI001,1570 S Trade Days Blvd,Canton,75103,Reid's Welding,Welding,32.5394516,-95.86218262,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-SHE106,20907 I 20,Canton,75103,Shedwright,Metal Fabrication,32.59802246,-95.91225433,Not Contacted,,,14,2026/03/17,Cold,0,90,Medium,75,84
CID-BLA101,12190 I 20,Canton,75103,Black River Outdoors,Metal Fabrication,32.55171967,-95.77919006,Not Contacted,,,14,2026/03/17,Cold,0,90,Medium,75,84
CID-BIG102,21333 State Highway 64,Canton,75103,Big Tex Buildings,Metal Fabrication,32.51623917,-95.80324554,Not Contacted,,,14,2026/03/17,Cold,0,90,Medium,75,84
CID-SMI001,17919 I 20,Canton,75103,Smi Buildings,Construction,32.58229446,-95.86665344,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-DUR001,311 Vz County Rd 2135,Canton,75103,Durbin Blacksmith,Welding,32.57991409,-95.92012787,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-R B001,690 Vz Cr 2510,Canton,75103,R B Fabrication,Welding,32.46817398,-95.84832001,Not Contacted,,,14,2026/03/17,Cold,,70,Medium,75,72
CID-TEX134,Interstate 20 N Access Rd,Canton,75103,Texwin Canton,Construction,32.5995636,-95.91153717,Not Contacted,,,14,2026/03/17,Cold,0,70,Medium,75,72
CID-RIL101,720 Vz County Rd 1311,Canton,75103,Riley Dirt Service,Construction,32.5384241,-95.7000912,Not Contacted,,,14,2026/03/17,Cold,0,70,Medium,75,72
CID-HAN101,611 Co Rd 4907,Canton,,Hanna's Custom Welding,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-RDS101,101 S Houston St,Canton,,R D's Welding,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-PRI101,8903 FM Rd 16,Canton,,Primrose Fabrication Llc,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-RAM101,2749 US-80,Canton,,R&m Welding Llc,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-GAS101,17899 I-20,Canton,,Gas And Supply - Canton,Welding Supply,,,Not Contacted,,,14,03/17/2026,0.4,70,50,Medium,75,60
CID-EAS101,8500 State Hwy 31 E,Canton,,East Texas Iron Works,Metal Fabrication,,,Follow-Up,02/27/2026,4,10,03/13/2026,0.5,85,90,Medium,75,84
CID-DIL101,916 N Needmore St,Canton,,Dillon Manufacturing,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.55,90,90,Medium,75,84
